iter	Passed	Remaining
1097	47437	50505
1098	47478	50459
1099	47521	50416
1100	47564	50372
1101	47605	50327
1102	47645	50280
1103	47688	50236
1104	47732	50194
1105	47775	50151
1106	47817	50106
1107	47863	50066
1108	47906	50022
1109	47946	49976
1110	47987	49930
1111	48031	49888
1112	48073	49844
1113	48113	49797
1114	48155	49753
1115	48197	49708
1116	48238	49663
1117	48280	49619
1118	48323	49575
1119	48362	49528
1120	48403	49482
1121	48446	49439
1122	48489	49395
1123	48530	49350
1124	48574	49308
1125	48617	49264
1126	48656	49217
1127	48696	49171
1128	48745	49133
1129	48784	49087
1130	48828	49044
1131	48873	49003
1132	48917	48960
1133	48959	48915
1134	48997	48867
1135	49039	48823
1136	49080	48777
1137	49121	48732
1138	49168	48693
1139	49209	48648
1140	49249	48602
1141	49295	48561
1142	49338	48518
1143	49379	48473
1144	49423	48431
1145	49468	48388
1146	49522	48356
1147	49569	48317
1148	49621	48282
1149	49662	48237
1150	49704	48193
1151	49748	48150
1152	49788	48104
1153	49829	48059
1154	49875	48018
1155	49917	47974
1156	49957	47928
1157	49998	47883
1158	50041	47839
1159	50084	47795
1160	50124	47749
1161	50167	47706
1162	50208	47661
1163	50249	47616
1164	50289	47570
1165	50331	47525
1166	50375	47483
1167	50416	47438
1168	50459	47395
1169	50505	47354
1170	50547	47309
1171	50586	47262
1172	50628	47218
1173	50668	47172
1174	50711	47129
1175	50745	47078
1176	50788	47034
1177	50828	46988
1178	50866	46940
1179	50904	46892
1180	50943	46845
1181	50984	46800
1182	51026	46756
1183	51067	46711
1184	51109	46666
1185	51152	46623
1186	51195	46580
1187	51238	46537
1188	51281	46493
1189	51319	46446
1190	51363	46403
1191	51405	46359
1192	51448	46316
1193	51492	46274
1194	51534	46230
1195	51574	46184
1196	51618	46141
1197	51661	46098
1198	51713	46063
1199	51757	46020
1200	51798	45976
1201	51836	45928
1202	51876	45882
1203	51919	45839
1204	51961	45795
1205	52004	45752
1206	52048	45709
1207	52089	45664
1208	52128	45618
1209	52172	45575
1210	52216	45532
1211	52257	45487
1212	52298	45443
1213	52339	45398
1214	52379	45352
1215	52420	45307
1216	52461	45262
1217	52506	45220
